species,metric,lower_bounds,upper_bounds
Xanthomonas_euvesicatoria,N50,52000.0,
Xanthomonas_euvesicatoria,no_of_contigs,,270.0
Xanthomonas_euvesicatoria,GC_Content,64.0,66.0
Xanthomonas_euvesicatoria,Completeness,97.0,
Xanthomonas_euvesicatoria,Contamination,,3.0
Xanthomonas_euvesicatoria,Total_Coding_Sequences,4100.0,4800.0
Xanthomonas_euvesicatoria,Genome_Size,4900000.0,5600000.0
Xanthomonas_hortorum,N50,16000.0,
Xanthomonas_hortorum,no_of_contigs,,800.0
Xanthomonas_hortorum,GC_Content,63.0,64.0
Xanthomonas_hortorum,Completeness,98.0,
Xanthomonas_hortorum,Contamination,,3.0
Xanthomonas_hortorum,Total_Coding_Sequences,4300.0,5200.0
Xanthomonas_hortorum,Genome_Size,5000000.0,6000000.0
Xanthomonas_campestris,N50,59000.0,
Xanthomonas_campestris,no_of_contigs,,220.0
Xanthomonas_campestris,GC_Content,64.0,66.0
Xanthomonas_campestris,Completeness,95.0,
Xanthomonas_campestris,Contamination,,4.0
Xanthomonas_campestris,Total_Coding_Sequences,4100.0,4700.0
Xanthomonas_campestris,Genome_Size,4800000.0,5300000.0
Xanthomonas_oryzae,N50,4000.0,
Xanthomonas_oryzae,no_of_contigs,,1630.0
Xanthomonas_oryzae,GC_Content,63.0,65.0
Xanthomonas_oryzae,Completeness,85.0,
Xanthomonas_oryzae,Contamination,,5.0
Xanthomonas_oryzae,Total_Coding_Sequences,4000.0,5300.0
Xanthomonas_oryzae,Genome_Size,4000000.0,5300000.0
